Trial,Status,Final Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,gamma,target_update_interval,After 200000,After 400000,After 600000,After 800000,After 1000000
1,Completed,16.88,14.799999999999999,2.88e-05,0.065508403,0.002944768,0.72089153,0.999783341,3881,0.0,11.58,13.379999999999999,15.32,16.88
2,Completed,25.939999999999998,23.799999999999997,7.36e-05,0.09318313,0.001860216,0.724371796,0.999239201,3476,11.16,14.8,12.86,14.720000000000002,25.939999999999998
3,Completed,14.84,13.8,5.52e-05,0.042262803,0.001820758,0.830522703,0.999445596,3361,17.26,15.979999999999999,24.740000000000002,19.159999999999997,14.84
4,Completed,20.66,19.0,3.56e-05,0.032071929,0.001042214,0.967245026,0.99911953,4159,18.020000000000003,22.300000000000004,16.439999999999998,7.5600000000000005,20.66
5,Completed,9.46,8.4,3.574949932383464e-05,0.034601155771321605,0.006294752113735038,0.8626246949182124,0.9993347185876917,3188,11.0,19.7,17.119999999999997,14.020000000000001,9.46
6,Completed,20.980000000000004,19.400000000000002,8.922710661083379e-05,0.06907081175073804,0.00026341179024433255,0.7512096398966055,0.9994875727430558,3943,3.8000000000000003,9.6,13.22,14.700000000000001,20.980000000000004
7,Completed,22.759999999999998,20.4,4.4822998887528964e-05,0.09155562073247665,0.005010522403405123,0.8821181592199773,0.9991396021766018,3779,3.9199999999999995,7.140000000000001,14.32,18.080000000000002,22.759999999999998
8,Completed,29.68,26.8,6.449440699660014e-05,0.07874995302833794,0.0030551438243715803,0.9115251592385124,0.9997521844533782,4119,16.240000000000002,12.340000000000002,24.080000000000002,19.34,29.68
9,Completed,25.160000000000004,22.400000000000002,9.338781943719447e-05,0.19890058380503925,0.0014463173673233526,0.782902026788855,0.9990610025873976,3744,0.7,2.7199999999999998,9.959999999999999,22.02,25.160000000000004
10,Completed,16.52,15.2,4.4511199294783755e-05,0.1503114957259247,0.0004410648125451093,0.8659871537973841,0.9998500135786967,4260,0.9,1.9599999999999997,3.52,9.86,16.52
11,Completed,16.18,15.2,6.648039459311713e-05,0.23494837639896227,0.002062509895966821,0.7581374860288784,0.9991829419808012,4073,0.78,2.6999999999999997,2.9000000000000004,12.08,16.18
12,Completed,26.240000000000002,23.400000000000002,7.903372099530294e-05,0.16258848125412148,0.004398149773135672,0.9087840915456102,0.999760239912755,4436,1.7000000000000002,2.2,6.140000000000001,14.440000000000001,26.240000000000002
13,Completed,15.52,14.2,3.3080963903630594e-05,0.1374676603293871,0.0014056417998499443,0.9160859831318591,0.9998295228072069,3664,1.32,2.0199999999999996,4.18,6.5200000000000005,15.52
14,Completed,3.7,3.4000000000000004,7.733237810039303e-05,0.0158625628384887,0.00028201446607967597,0.8314984947319153,0.9997223026055699,4157,22.7,16.7,16.299999999999997,5.3,3.7
15,Completed,7.4,6.6000000000000005,3.8351535460886926e-05,0.13405281076955036,0.004806350122652675,0.959003267783458,0.9997107637996735,4411,0.36,1.6800000000000002,3.4400000000000004,2.3,7.4
16,Completed,27.52,25.4,6.524321970046211e-05,0.045152779979255826,0.007132845337539966,0.8248776178787651,0.9997173288732114,4374,6.32,16.6,23.06,24.08,27.52
17,Completed,28.759999999999998,25.4,7.693460364478095e-05,0.27870626796847386,0.004766307738946044,0.7500158913328581,0.999173936906969,3432,0.04,1.4,11.54,21.900000000000002,28.759999999999998
18,Completed,15.360000000000001,13.8,7.60888342980482e-05,0.03793633757971155,0.0010926762212144837,0.9680366826311242,0.9997159095156146,3929,15.64,13.5,9.040000000000001,26.4,15.360000000000001
19,Completed,27.76,25.6,8.739958003358599e-05,0.25647840176459336,0.005440101553329755,0.92914310572317,0.9996821645386522,3875,0.02,1.8599999999999999,9.04,23.74,27.76
20,Completed,5.68,5.2,3.633204091797387e-05,0.09788229694222743,0.0020052869132284774,0.7149743497803476,0.9997572713939463,3109,0.6599999999999999,4.14,6.2,5.74,5.68
21,Completed,18.919999999999998,17.599999999999998,4.264135039720687e-05,0.1147978509994139,0.0022155022203893277,0.812834358413183,0.9997868053587508,3827,3.3,3.52,1.9200000000000002,6.340000000000001,18.919999999999998
22,Completed,12.659999999999998,11.799999999999999,2.438962237019098e-05,0.034353877337346114,0.0030209355166846137,0.7167885661629155,0.9992200561864859,4245,0.0,13.54,17.759999999999998,16.48,12.659999999999998
23,Completed,34.34,30.8,8.028440150286555e-05,0.09940846901494617,0.0041039196296623415,0.873427500510033,0.9996836696735428,4068,1.7200000000000002,8.879999999999999,18.560000000000002,22.999999999999996,34.34
24,Completed,11.0,10.0,9.174505298843541e-05,0.05850535169197664,0.004541193913762506,0.8688720053281773,0.9997041552903541,3224,6.500000000000001,17.26,28.2,29.22,11.0
25,Completed,18.799999999999997,17.4,6.067599926105858e-05,0.04921234565931216,0.0001174159962349394,0.7927868885116822,0.9992305738866558,3233,5.5,8.24,16.68,21.26,18.799999999999997
26,Completed,12.120000000000001,11.200000000000001,4.8947935854290314e-05,0.19074534705974727,0.0009514974245228761,0.7292101791383075,0.9995003825753288,3331,0.52,1.9,2.96,6.36,12.120000000000001
27,Completed,15.32,14.2,8.372734801940631e-05,0.12697813134103395,0.0006856501333610096,0.8048467194188962,0.9993887808940688,4224,1.7000000000000002,10.46,18.240000000000002,18.82,15.32
